model,dataset,seed,n_train,n_test,n_features,fit_time_sec,predict_time_sec,total_time_sec,tuning_time_sec,total_wall_time_sec,throughput_rows_per_sec,ms_per_test_row,peak_memory_mb,memory_delta_mb,gpu_memory_mb,error,roc_auc,avg_precision,f1_macro,brier_score,log_loss_val,sensitivity,specificity,ppv,ece_10,ece_15,max_calibration_error,pr_auc,optimal_threshold,optimal_tpr,optimal_fpr,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,balanced_accuracy,matthews_corrcoef,demographic_parity,tpr_overall,fpr_overall,f1_weighted,accuracy
XGBoost,qsar-biodeg,4,844,211,41,20.24163435399896,0.0053406260012707,20.246974980000232,19.868033886003104,40.115008866003336,39508.46968900763,0.0253110237027048,2641.140625,0.0,210.93603515625,,0.9450704225352112,0.9180598885822244,0.8687810945273632,0.0833087787032127,0.2791430652141571,0.7746478873239436,0.9428571428571428,0.873015873015873,0.0417598313453355,0.0693009448948347,0.5216190020243328,0.9175309713229388,0.1,0.8873239436619719,0.1,0.8918918918918919,0.873015873015873,0.9428571428571428,0.7746478873239436,0.9166666666666666,0.8208955223880597,0.8587525150905433,0.7408273543450546,0.2985781990521327,0.7746478873239436,0.0571428571428571,0.8844403574544338,0.8862559241706162
LightGBM,qsar-biodeg,4,844,211,41,12.12631462599893,0.0032599820005998,12.12957460799953,11.851963968001655,23.981538576001185,64724.26388762618,0.0154501516616106,2641.140625,0.0,210.93603515625,,0.9450704225352112,0.9178735749863108,0.8648994749647843,0.0822778770042646,0.2770254200665619,0.7887323943661971,0.9285714285714286,0.8484848484848485,0.0429545162173615,0.0689302856968736,0.363970260356982,0.9173530315084352,0.1071428571428571,0.9154929577464788,0.1071428571428571,0.896551724137931,0.8484848484848485,0.9285714285714286,0.7887323943661971,0.912280701754386,0.8175182481751825,0.8586519114688129,0.7310387005970791,0.3127962085308057,0.7887323943661971,0.0714285714285714,0.8803938097917156,0.8815165876777251
CatBoost,qsar-biodeg,4,844,211,41,125.91359356500108,0.0031960439991962,125.91678960900026,123.4725696940004,249.38935930300067,66019.09549241704,0.0151471279582761,2641.91015625,0.76953125,210.93603515625,,0.9463782696177064,0.923724506110276,0.8757075169676014,0.0835937989040764,0.2806387499339788,0.8028169014084507,0.9357142857142856,0.8636363636363636,0.0550780754711169,0.0806624249565525,0.3281224370588615,0.9232797261069056,0.1,0.8873239436619719,0.1,0.903448275862069,0.8636363636363636,0.9357142857142856,0.8028169014084507,0.9192982456140352,0.8321167883211679,0.8692655935613682,0.752672524696095,0.3127962085308057,0.8028169014084507,0.0642857142857142,0.8899623050083783,0.8909952606635071
MLP,qsar-biodeg,4,844,211,41,5.494931646000623,0.0024501750012859,5.497381821001909,5.365273358002014,10.862655179003925,86116.26262327973,0.0116122037975638,2641.91015625,0.0,210.93603515625,,0.9194164989939636,0.8572070208495292,0.8492549499897939,0.1031169593334198,0.3553822636604309,0.7746478873239436,0.9142857142857144,0.8208955223880597,0.0452229077640867,0.0476838839350718,0.4399178624153137,0.8557268962943855,0.1214285714285714,0.8450704225352113,0.1214285714285714,0.8888888888888888,0.8208955223880597,0.9142857142857144,0.7746478873239436,0.9014084507042254,0.7971014492753623,0.8444668008048289,0.699281295922763,0.3175355450236967,0.7746478873239436,0.0857142857142857,0.8663098862423805,0.8672985781990521
SAP-RPT-1,qsar-biodeg,4,844,211,41,3.965564403002645,1.342293887002597,5.3078582900052425,0.0,5.3078582900052425,157.19359365777854,6.361582402855911,2736.75,94.83984375,595.490234375,,0.9456740442655936,0.9101339420350772,0.8492737518850701,0.0885125994682312,0.2834423780441284,0.7183098591549296,0.95,0.8793103448275862,0.0510959933330945,0.0844316393913816,0.5622972548007965,0.9095586091651058,0.1,0.8873239436619719,0.1,0.869281045751634,0.8793103448275862,0.95,0.7183098591549296,0.9078498293515358,0.7906976744186046,0.8341549295774648,0.7073125241380868,0.2748815165876777,0.7183098591549296,0.05,0.8684289620518291,0.8720379146919431
SAP-RPT-1,titanic,0,1047,262,13,3.337009366998245,0.5811445469989849,3.91815391399723,0.0,3.91815391399723,450.8344798245576,2.218108958011393,2741.4296875,100.37109375,595.490234375,,0.9890432098765432,0.9879611216034366,0.959245893479343,0.0301493629813194,0.1168162822723388,0.93,0.9814814814814816,0.96875,0.0152077443990145,0.0227262156940854,0.6178585588932037,0.9879429502603766,0.0432098765432098,0.98,0.0432098765432098,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
TabPFN,titanic,1,1047,262,13,0.6579217850012355,0.7368746649990499,1.3947964500002854,0.0,1.3947964500002854,355.5557167171464,2.812498721370419,2740.734375,0.0,210.93603515625,,0.9926234567901234,0.9881964232660746,0.959245893479343,0.0328342206776142,0.1331106573343277,0.93,0.9814814814814816,0.96875,0.0224753780048767,0.0259680422556138,0.3382061570882797,0.9881662742166494,0.037037037037037,0.97,0.037037037037037,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
XGBoost,titanic,1,1047,262,13,5.99853727899972,0.0031817669987503,6.00171904599847,5.910411146000115,11.912130191998584,82344.15586016895,0.0121441488501923,2740.734375,0.0,210.93603515625,,0.9835802469135804,0.9830797083499826,0.959245893479343,0.0300786215811967,0.1215846836566925,0.93,0.9814814814814816,0.96875,0.0090852108435662,0.0225078891251833,0.7186776101589203,0.983082969137436,0.0308641975308641,0.97,0.0308641975308641,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
LightGBM,titanic,1,1047,262,13,5.154343692000111,0.0020238180004525,5.156367510000564,5.083052990998112,10.239420500998676,129458.2173313958,0.0077244961849335,2740.734375,0.0,210.93603515625,,0.9871296296296296,0.9868210682763954,0.959245893479343,0.0387975146100041,0.1804392279416912,0.93,0.9814814814814816,0.96875,0.0877849737476044,0.0877849737476044,0.1971861379510391,0.9868944060288132,0.0308641975308641,0.96,0.0308641975308641,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
CatBoost,titanic,1,1047,262,13,123.95245189600246,0.0019926879976992,123.95444458400016,121.7277938490006,245.68223843300075,131480.62758539047,0.0076056793805314,2740.94921875,0.21484375,210.93603515625,,0.9885493827160492,0.9851390300286742,0.959245893479343,0.0313854992815858,0.1201604909729606,0.93,0.9814814814814816,0.96875,0.0140614722803691,0.0211165885906831,0.2079070373575936,0.9850953743533708,0.037037037037037,0.97,0.037037037037037,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
